Class Name,Nose,LeftEye,RightEye,LeftEar,RightEar,LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftHip,RightHip,LeftKnee,RightKnee,LeftAnkle,RightAnkle
Warrior_II,0.663599042556818,0.688663538011364,0.683743396477273,0.684916315056818,0.664700647954546,0.739551216818182,0.728854218068182,0.670589892670454,0.689874855625,0.660491920056818,0.644146859602273,0.783364931761363,0.790253979545455,0.743808150397727,0.707747409090909,0.708165154903409,0.71474238875
Gate,0.616456541834586,0.658146240879699,0.624082854511279,0.639801264270677,0.642580415082708,0.711261933684211,0.723572972947368,0.678931912105263,0.696278385142857,0.673055337338346,0.693205265345865,0.76800312962406,0.745854013947368,0.678572550300752,0.671871481909774,0.584588927669173,0.599753231774436
Child,0.453985459209039,0.511115775706215,0.518901241355932,0.542111402903955,0.532466736440678,0.608456509774012,0.533581007062147,0.531054654350282,0.556365902491525,0.508453540497175,0.554279092937853,0.66622665858757,0.623724423898305,0.554748269299435,0.541206856892655,0.486809577146893,0.494362658559322
Lord_of_the_Dance,0.614882983523809,0.629819291688312,0.63469172965368,0.635703728917749,0.623212037164502,0.659283567878787,0.653334137748918,0.577010722255411,0.560697348402597,0.572414169974026,0.571611990857143,0.679707413722944,0.685226744978355,0.673083787272727,0.677789310588744,0.593435622939394,0.618554850948052
Half_Moon,0.599825788094117,0.631347464094117,0.621446374441176,0.659303634552941,0.6655936925,0.708019162617648,0.702419609529412,0.656289127229411,0.690214315117647,0.732777330176471,0.729387318705882,0.697383297588236,0.710883549176471,0.698736319588235,0.690072453452941,0.711728457505882,0.715118022670588
Cockerel,0.648690614803921,0.663892104215686,0.681064609117647,0.680761006372549,0.624673346666667,0.717413388235294,0.711846754313725,0.552284425686274,0.587847859019608,0.488345488333333,0.512101936519608,0.634690098333334,0.626554333529412,0.63042710572549,0.62922577495098,0.294448514872549,0.307988778019608
Side_Crow,0.573431522651515,0.605857230454545,0.597289658409091,0.573053441060606,0.559423284469697,0.607034054090909,0.557382912121212,0.543485773666667,0.567444315007576,0.652162362424243,0.635802695530303,0.511811932348485,0.486283893181818,0.4204498585,0.436838473106061,0.469740953022727,0.447616234
Frog,0.655069774083333,0.67724051565,0.678654037916667,0.69085491975,0.677400273066667,0.668067609783333,0.652701712791667,0.662468790383334,0.635060126383334,0.54019046975,0.5306019996,0.604784714166667,0.61224921,0.545647192791667,0.503233040033333,0.392313748725,0.395268973008333
Dolphin,0.574787879901961,0.636440788921569,0.63183401372549,0.681675807745098,0.644183062843138,0.737532021764706,0.676249827450981,0.701474646568628,0.695321221862745,0.644266905490196,0.64677490117647,0.769940780490196,0.776407429607843,0.805810105686274,0.803659023039216,0.747101241960784,0.764358935980392
Warrior_I,0.568451801415094,0.612330204716981,0.619008348396226,0.636432497264151,0.644855645754717,0.698775817735849,0.705196645754717,0.560003670698113,0.560354890235849,0.572358940660377,0.623651139943396,0.708495461037735,0.739294633396226,0.720964103396226,0.715966870660377,0.701859430943396,0.735470387924528
Heron,0.600867711865672,0.643801934738806,0.63566188238806,0.626627993432836,0.588576829701493,0.642755718358209,0.652450195253731,0.536428942238806,0.502480179626865,0.488402556522388,0.455568828246269,0.668882894626866,0.653027593432835,0.604578486298508,0.497582068723881,0.414988653313433,0.436089585402985
Supported_Headstand,0.419221612882927,0.475688935687805,0.468549204629268,0.526879625609756,0.492044034165854,0.574405900439024,0.515477790078049,0.506788142946341,0.521575961814634,0.372695967629268,0.422702252839025,0.590135210731707,0.589325442195122,0.559343069165853,0.569677274829268,0.559960427795122,0.5340423704
Noose,0.601757835294118,0.598258680098039,0.637615724705883,0.556345011666666,0.590759863431373,0.65431803877451,0.635165977843137,0.535873308647059,0.473278812843137,0.31545700577451,0.311537721656863,0.511728302921569,0.523484599803922,0.305909301882353,0.394643517156863,0.439718297313726,0.419070560931373
Plank,0.68304639877551,0.691106315459184,0.686371713163265,0.756844844285714,0.753805903826531,0.759175677397959,0.780370850663265,0.74675031755102,0.746470613622449,0.723462168316327,0.724817852959184,0.791461884285714,0.779866847551021,0.74199222627551,0.716207389183673,0.732142283928572,0.752648267244898
Extended_Revolved_Triangle,0.607838685809524,0.643288187916667,0.639154488095238,0.662535377886905,0.647922670297619,0.709461804464286,0.669401724583334,0.659047068273809,0.684768056208333,0.711452564252977,0.693258569761904,0.723837569008928,0.709262100208334,0.709624400654763,0.692602573023809,0.692450535595238,0.663331754791666
Half_Lord_of_the_Fishes,0.698878812155963,0.713592171220183,0.725730870355963,0.689950251096331,0.680376921192661,0.773364530779817,0.774602677064221,0.707146640412844,0.702108907431193,0.627195244082569,0.606243165504587,0.699730413807339,0.693350291605505,0.595040354885321,0.566786523,0.516060242536697,0.520646466522936
Standing_Split,0.459590628467295,0.511866837377359,0.523847707232704,0.537505421899371,0.534304567955975,0.595750996861635,0.542422532226415,0.478287697157233,0.538300169509434,0.439162526339623,0.477514139773585,0.593740306641509,0.618296671509434,0.504019266528302,0.501741325691824,0.479097612503145,0.478687017283019
Upward_Facing_Two-Foot_Staff,0.494517198490566,0.544661841226415,0.541843003679245,0.609474470754717,0.622429312830189,0.686197091792453,0.589450300377358,0.592302052132075,0.609899514632075,0.558247097971698,0.542610196132075,0.687620189622642,0.668294465141509,0.749755822924528,0.722502425943396,0.678288758679245,0.68414088754717
Corpse,0.567084236928105,0.565839818823529,0.576315046339869,0.615049158013072,0.606693940228758,0.671173321267974,0.632351204934641,0.488073704313726,0.503777766928105,0.47806808324183,0.490174431705882,0.657724252026144,0.642178439398693,0.593908683986928,0.564734709281046,0.583518738888889,0.594718796124183
Head-to-Knee_Forward_Bend,0.55001924887218,0.596470860526316,0.594507480902256,0.599146832631579,0.584948949022556,0.65700750593985,0.61976283518797,0.555633157661654,0.616263330827068,0.505849316661654,0.549148289308271,0.636535154736842,0.611399124285714,0.547137775827068,0.563462704736842,0.471966257323308,0.483703542172932
Feathered_Peacock,0.441026834397163,0.49399030929078,0.499754182978723,0.558110670609929,0.520439404468085,0.579618008829787,0.536312106794326,0.52845108870922,0.500724532085107,0.437614116595745,0.450252545283688,0.591153417943262,0.557505658368794,0.550287299751773,0.560694579333333,0.555620218439716,0.523652811702128
Dolphin_Plank,0.662573757027027,0.659208857657658,0.643158862972973,0.712619174684684,0.699382506432433,0.718235593063064,0.741328850270271,0.706570855855856,0.719075330720721,0.636240717657658,0.630667503063063,0.760487053963964,0.723266228558559,0.726643463603604,0.711958051891892,0.725469323513514,0.730011128018018
Pigeon,0.478791870792079,0.549097779504951,0.536807107425743,0.595511226831683,0.60911003039604,0.657144318910891,0.615458311881188,0.512770572544554,0.656083781584159,0.486403871683168,0.524570847227723,0.720340991485149,0.700777149009901,0.671804169960396,0.710554166435644,0.47486322059406,0.513826626386139
Eagle,0.539929596885246,0.574418403442623,0.573339899781421,0.589160010163935,0.576193309038251,0.627719580382513,0.622440065868853,0.406724966502732,0.427675811748634,0.417374378327869,0.410636043191257,0.654972692185792,0.627067104043716,0.500658424644809,0.51909931284153,0.463583918740437,0.466456989726776
Garland,0.623208899654321,0.631715568333333,0.642598213111111,0.634823853765432,0.625512999259259,0.705814940925926,0.698426765185185,0.600084739049383,0.610708632320988,0.482575591858025,0.521993451851852,0.606147406574074,0.636151546419753,0.564688983703704,0.560558352438272,0.578852579203703,0.595437088111111
Upward_Plank,0.61136801760606,0.637814051888889,0.638253840030303,0.696126562777778,0.672856027424242,0.748869665454545,0.701032281464647,0.687125833686869,0.694683215555555,0.66949741260101,0.640892420555556,0.762619747707071,0.742619179929293,0.709141528030303,0.687729371888889,0.636691411333333,0.663258809282828
Crow,0.627042492478261,0.641660125357488,0.63606278094686,0.66935715142029,0.652372800917874,0.658981452463768,0.639219863149758,0.58067530089372,0.596529612782609,0.62086704,0.633585774879227,0.69621166763285,0.673324109855073,0.504028667120773,0.537091486376812,0.569043495458937,0.554518799903382
Legs-Up-the-Wall,0.570401306965517,0.587648475310345,0.612346772068965,0.632679685034483,0.610325980758621,0.67117949937931,0.636275706068965,0.526774998531035,0.49256057382069,0.489724152075862,0.488629052848276,0.638745531172414,0.64773292937931,0.650311759268966,0.655061604,0.629714096448276,0.655610501310345
Intense_Side_Stretch,0.527038470902256,0.567042874661654,0.590403447819549,0.625440886015038,0.612207909398496,0.622048683834587,0.585786853759398,0.488315157293233,0.524512179969925,0.470447812135338,0.47208499037594,0.673846096691729,0.673408007819549,0.62385937687218,0.619545187203007,0.666862214007519,0.617907000285714
Standing_Forward_Bend,0.503749288787879,0.563371522916667,0.561606959242424,0.598738716628788,0.581530107386363,0.60336404435606,0.603317340227273,0.565492248977272,0.56053938094697,0.507375847382576,0.525830935757576,0.715171044371213,0.701619831212122,0.620966038219697,0.601603809772727,0.559781906969697,0.570927607386363
Handstand_pose,0.469076892769231,0.503199111692308,0.505420938230769,0.538104675876923,0.515156201961538,0.577508722923077,0.530080584461538,0.537856587107692,0.551638514261538,0.478034205,0.524263234176923,0.598304921030769,0.5775088138,0.5724341108,0.565980301776923,0.528546241192308,0.5213456677
Bharadvaja's_Twist_pose,0.651926445347826,0.67572463613913,0.660978135130434,0.654153642347826,0.624184224434782,0.747068708695652,0.745903745043478,0.614217086182609,0.621856855826087,0.534395202773913,0.470957749095652,0.664215314,0.635751775913044,0.582771295347826,0.556831077730435,0.338880351826087,0.373115321782609
Bridge,0.630989423138686,0.648752260583941,0.662661751897811,0.704382569416059,0.672268147007299,0.714124567153284,0.656130731532847,0.589886935255475,0.586879866350365,0.527576124452555,0.545012810948905,0.651280699489051,0.678745502846716,0.711086533138687,0.71965119729927,0.641868207372263,0.681584174817518
Firefly,0.5923494225,0.611439015285714,0.606979140714286,0.57497120035,0.517278801707143,0.636484880785714,0.628895041357143,0.612954258264285,0.5648351994,0.666689881785714,0.617022852871428,0.603027426642857,0.577146920785714,0.429125850571429,0.451737434664286,0.433065953214286,0.461566282814286
Extended_Puppy,0.50626115205,0.5716576714,0.57469889796,0.6446237295,0.58155329204,0.67147212356,0.5918091587,0.6470211271,0.6090418553,0.59205950498,0.56666640837,0.7496826604,0.7124503802,0.7445927724,0.6806068027,0.7139321907,0.7127221171
